label,path
m,data/raw_files/Images/dataset/m/train_4d_00000.png
m,data/raw_files/Images/dataset/m/train_4d_00001.png
m,data/raw_files/Images/dataset/m/train_4d_00002.png
m,data/raw_files/Images/dataset/m/train_4d_00003.png
m,data/raw_files/Images/dataset/m/train_4d_00004.png
m,data/raw_files/Images/dataset/m/train_4d_00005.png
m,data/raw_files/Images/dataset/m/train_4d_00006.png
m,data/raw_files/Images/dataset/m/train_4d_00007.png
m,data/raw_files/Images/dataset/m/train_4d_00008.png
m,data/raw_files/Images/dataset/m/train_4d_00009.png
m,data/raw_files/Images/dataset/m/train_4d_00010.png
m,data/raw_files/Images/dataset/m/train_4d_00011.png
m,data/raw_files/Images/dataset/m/train_4d_00012.png
m,data/raw_files/Images/dataset/m/train_4d_00013.png
m,data/raw_files/Images/dataset/m/train_4d_00014.png
m,data/raw_files/Images/dataset/m/train_4d_00015.png
m,data/raw_files/Images/dataset/m/train_4d_00016.png
m,data/raw_files/Images/dataset/m/train_4d_00017.png
m,data/raw_files/Images/dataset/m/train_4d_00018.png
m,data/raw_files/Images/dataset/m/train_4d_00019.png
m,data/raw_files/Images/dataset/m/train_4d_00020.png
m,data/raw_files/Images/dataset/m/train_4d_00021.png
m,data/raw_files/Images/dataset/m/train_4d_00022.png
m,data/raw_files/Images/dataset/m/train_4d_00023.png
m,data/raw_files/Images/dataset/m/train_4d_00024.png
m,data/raw_files/Images/dataset/m/train_4d_00025.png
m,data/raw_files/Images/dataset/m/train_4d_00026.png
m,data/raw_files/Images/dataset/m/train_4d_00027.png
m,data/raw_files/Images/dataset/m/train_4d_00028.png
m,data/raw_files/Images/dataset/m/train_4d_00029.png
m,data/raw_files/Images/dataset/m/train_4d_00030.png
m,data/raw_files/Images/dataset/m/train_4d_00031.png
m,data/raw_files/Images/dataset/m/train_4d_00032.png
m,data/raw_files/Images/dataset/m/train_4d_00033.png
m,data/raw_files/Images/dataset/m/train_4d_00034.png
m,data/raw_files/Images/dataset/m/train_4d_00035.png
m,data/raw_files/Images/dataset/m/train_4d_00036.png
m,data/raw_files/Images/dataset/m/train_4d_00037.png
m,data/raw_files/Images/dataset/m/train_4d_00038.png
m,data/raw_files/Images/dataset/m/train_4d_00039.png
m,data/raw_files/Images/dataset/m/train_4d_00040.png
m,data/raw_files/Images/dataset/m/train_4d_00041.png
m,data/raw_files/Images/dataset/m/train_4d_00042.png
m,data/raw_files/Images/dataset/m/train_4d_00043.png
m,data/raw_files/Images/dataset/m/train_4d_00044.png
m,data/raw_files/Images/dataset/m/train_4d_00045.png
m,data/raw_files/Images/dataset/m/train_4d_00046.png
m,data/raw_files/Images/dataset/m/train_4d_00047.png
m,data/raw_files/Images/dataset/m/train_4d_00048.png
m,data/raw_files/Images/dataset/m/train_4d_00049.png
m,data/raw_files/Images/dataset/m/train_4d_00050.png
m,data/raw_files/Images/dataset/m/train_4d_00051.png
m,data/raw_files/Images/dataset/m/train_4d_00052.png
m,data/raw_files/Images/dataset/m/train_4d_00053.png
m,data/raw_files/Images/dataset/m/train_4d_00054.png
m,data/raw_files/Images/dataset/m/train_4d_00055.png
m,data/raw_files/Images/dataset/m/train_4d_00056.png
